
Host: Davids-iMac.local

Timers On : Wed Nov  8 16:46:13 2017
Timers Off: Wed Nov  8 16:46:47 2017

Wall Time:       33.38 seconds

| JK: (A|Q)^-1/2            :      0.583u      0.017s      0.373w      5 calls
| JK: (Q|mn)                :      0.283u      0.000s      0.167w      5 calls
| JK: D                     :      0.000u      0.000s      0.001w     55 calls
| JK: USO2AO                :      0.000u      0.000s      0.001w     55 calls
| JK: JK                    :      3.267u      0.167s      2.058w     55 calls
| | JK: J                   :      0.150u      0.000s      0.106w     55 calls
| | | JK: J1                :      0.083u      0.000s      0.060w     65 calls
| | | JK: J2                :      0.067u      0.000s      0.044w     65 calls
| | JK: K                   :      3.000u      0.017s      1.802w     55 calls
| | | JK: K1                :      2.617u      0.000s      1.554w    110 calls
| | | JK: K2                :      0.383u      0.017s      0.247w     65 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     55 calls
DFMP2 grad                  :     10.217u      0.367s      6.962w      5 calls
| Grad: T                   :      0.017u      0.000s      0.063w      5 calls
| Grad: V                   :      0.667u      0.033s      0.455w      5 calls
| Grad: S                   :      0.000u      0.000s      0.003w      5 calls
| Grad: JK                  :      9.517u      0.333s      6.351w      5 calls
| | CorrGrad: Amn           :      1.817u      0.133s      1.153w      5 calls
| | CorrGrad: AB            :      0.733u      0.033s      0.470w      5 calls
| | CorrGrad: UV            :      0.117u      0.033s      0.096w      5 calls
| | CorrGrad: ABx           :      0.433u      0.050s      0.342w      5 calls
| | CorrGrad: Amnx          :      6.250u      0.083s      3.851w      5 calls

***********************************************************

Host: Davids-iMac.local

Timers On : Wed Nov  8 16:47:43 2017
Timers Off: Wed Nov  8 16:48:11 2017

Wall Time:       28.52 seconds

JK: (A|mn)                  :      7.067u      0.000s      4.243w     10 calls
JK: (A|Q)^-1/2              :      1.267u      0.000s      0.751w     10 calls
JK: (Q|mn)                  :      0.517u      0.000s      0.332w     10 calls
HF: Form H                  :      0.017u      0.000s      0.037w      5 calls
HF: Form S/X                :      0.017u      0.000s      0.004w      5 calls
HF: Guess                   :      0.117u      0.000s      0.076w      5 calls
SAD Guess                   :      0.117u      0.000s      0.074w      1 calls
HF: Form G                  :      1.867u      0.100s      1.150w     60 calls
JK: D                       :      0.000u      0.000s      0.002w    115 calls
